city,cloudiness,country,date,humidity,lat,lng,temp,windspeed
grindavik,75.0,IS,1596468789.0,81.0,63.84,-22.43,50.0,8.05
busselton,84.0,AU,1596468840.0,76.0,-33.65,115.33,48.99,8.81
los llanos de aridane,20.0,ES,1596468743.0,69.0,28.66,-17.92,77.0,19.46
reguengos de monsaraz,20.0,PT,1596469133.0,27.0,38.43,-7.53,97.0,17.22
taolanaro,,,,,,,,
vila velha,75.0,BR,1596468707.0,57.0,-20.33,-40.29,75.2,6.93
norman wells,20.0,CA,1596468891.0,88.0,65.28,-126.83,64.4,4.7
tiksi,6.0,RU,1596468750.0,93.0,71.69,128.87,40.89,6.02
khatanga,59.0,RU,1596468837.0,81.0,71.97,102.5,61.54,6.76
butaritari,1.0,KI,1596468751.0,75.0,3.07,172.79,82.69,18.7
kodiak,90.0,US,1596468752.0,87.0,57.79,-152.41,53.6,4.7
aykhal,0.0,RU,1596469022.0,45.0,66.0,111.5,66.2,6.71
vaini,75.0,TO,1596468740.0,100.0,-21.2,-175.2,71.6,11.41
east london,0.0,ZA,1596469134.0,9.0,-33.02,27.91,91.4,10.29
bredasdorp,0.0,ZA,1596469134.0,52.0,-34.53,20.04,68.0,14.99
cerritos,20.0,US,1596469053.0,73.0,33.86,-118.06,73.99,2.82
rikitea,44.0,PF,1596469134.0,82.0,-23.12,-134.97,73.22,17.38
alice springs,0.0,AU,1596469082.0,27.0,-23.7,133.88,50.0,3.36
jamestown,75.0,US,1596469135.0,77.0,42.1,-79.24,75.0,8.05
arraial do cabo,20.0,BR,1596468849.0,50.0,-22.97,-42.03,75.2,8.05
cidreira,83.0,BR,1596469135.0,62.0,-30.18,-50.21,72.0,3.24
yulara,0.0,AU,1596469135.0,19.0,-25.24,130.99,46.4,2.21
puerto ayora,40.0,EC,1596468835.0,78.0,-0.74,-90.35,73.4,20.8
iqaluit,75.0,CA,1596469135.0,81.0,63.75,-68.51,50.0,5.82
provideniya,96.0,RU,1596469135.0,74.0,64.38,-173.3,45.86,2.33
punta arenas,20.0,CL,1596469135.0,70.0,-53.15,-70.92,46.4,28.86
ushuaia,40.0,AR,1596469135.0,43.0,-54.8,-68.3,50.0,20.8
westport,1.0,US,1596469091.0,58.0,41.14,-73.36,84.99,16.11
suntar,2.0,RU,1596469135.0,62.0,62.14,117.63,58.15,5.41
shimoda,55.0,JP,1596469136.0,90.0,34.67,138.95,72.0,1.01
cape town,20.0,ZA,1596468880.0,72.0,-33.93,18.42,64.99,11.41
illoqqortoormiut,,,,,,,,
longyearbyen,90.0,SJ,1596469087.0,93.0,78.22,15.64,46.4,5.82
namatanai,2.0,PG,1596469136.0,81.0,-3.67,152.43,79.32,6.67
hobart,90.0,AU,1596469099.0,86.0,-42.88,147.33,39.99,3.36
hermanus,1.0,ZA,1596469136.0,72.0,-34.42,19.23,64.0,5.01
albany,100.0,US,1596468723.0,47.0,42.6,-73.97,80.01,1.99
cherskiy,40.0,RU,1596468754.0,96.0,68.75,161.3,38.25,8.19
narsaq,75.0,GL,1596468783.0,93.0,60.92,-46.05,48.2,3.36
chernyshevskiy,86.0,RU,1596469136.0,76.0,63.01,112.47,56.8,3.51
yellowknife,75.0,CA,1596468686.0,73.0,62.46,-114.35,73.0,12.75
manacapuru,20.0,BR,1596469137.0,46.0,-3.3,-60.62,91.4,5.82
perth,20.0,AU,1596468908.0,93.0,-31.93,115.83,48.0,6.93
chokurdakh,100.0,RU,1596468793.0,72.0,70.63,147.92,45.99,4.56
jawhar,81.0,SO,1596469137.0,69.0,2.78,45.5,77.58,18.86
barpathar,93.0,IN,1596469137.0,84.0,26.3,93.87,83.19,0.83
barentsburg,,,,,,,,
hovd,26.0,MN,1596469137.0,50.0,48.01,91.64,62.28,1.05
port elizabeth,0.0,ZA,1596468745.0,82.0,-33.92,25.57,64.4,20.8
boden,100.0,SE,1596468748.0,59.0,65.83,21.69,64.4,8.05
poum,92.0,NC,1596469048.0,60.0,-20.23,164.02,69.87,4.56
amderma,,,,,,,,
port hardy,90.0,CA,1596468776.0,100.0,50.7,-127.42,59.0,5.82
castro,16.0,BR,1596468775.0,47.0,-24.79,-50.01,67.87,3.2
dzhankoy,0.0,UA,1596469138.0,46.0,45.72,34.4,75.16,6.49
mataura,100.0,NZ,1596468736.0,92.0,-46.19,168.86,43.21,2.35
lorengau,9.0,PG,1596468777.0,83.0,-2.02,147.27,82.4,14.25
williston,0.0,US,1596469062.0,55.0,48.15,-103.62,71.01,5.01
gidole,92.0,ET,1596469139.0,63.0,5.65,37.37,63.19,6.53
port alfred,0.0,ZA,1596468747.0,73.0,-33.59,26.89,65.59,15.1
takhtamygda,100.0,RU,1596469140.0,93.0,54.1,123.57,57.38,6.82
kampene,0.0,CD,1596469140.0,25.0,-3.6,26.67,85.5,2.17
barrow,90.0,US,1596468764.0,88.0,71.29,-156.79,32.0,9.17
leh,3.0,IN,1596468770.0,23.0,34.17,77.58,68.23,6.15
ca mau,99.0,VN,1596469053.0,91.0,9.18,105.15,77.81,3.94
grand river south east,,,,,,,,
lebu,42.0,CL,1596468745.0,81.0,-37.62,-73.65,54.72,15.86
georgetown,20.0,MY,1596468562.0,74.0,5.41,100.34,86.0,3.36
zhangjiakou,9.0,CN,1596469141.0,53.0,40.81,114.88,71.06,3.0
angouleme,75.0,FR,1596469142.0,49.0,45.65,0.15,75.0,12.75
kununurra,14.0,AU,1596469024.0,73.0,-15.77,128.73,60.8,2.55
sakura,20.0,JP,1596469142.0,94.0,35.72,140.23,73.99,2.24
atuona,1.0,PF,1596468740.0,74.0,-9.8,-139.03,78.49,16.06
ituni,,,,,,,,
hasaki,20.0,JP,1596468804.0,94.0,35.73,140.83,73.99,2.24
oromocto,90.0,CA,1596468964.0,88.0,45.84,-66.48,75.0,6.93
clyde river,90.0,CA,1596468756.0,93.0,70.47,-68.59,46.4,5.82
mys shmidta,,,,,,,,
yvoir,40.0,BE,1596469143.0,35.0,50.33,4.88,71.6,6.93
lapeer,90.0,US,1596468891.0,88.0,43.05,-83.32,72.0,3.36
gat,0.0,IL,1596468803.0,57.0,31.61,34.76,88.0,3.0
bluff,100.0,NZ,1596468734.0,81.0,-46.6,168.33,46.96,8.05
snezhnogorsk,75.0,RU,1596469143.0,93.0,69.19,33.25,50.0,4.47
bulungu,61.0,CD,1596469143.0,24.0,-4.55,18.6,91.96,4.27
kruisfontein,11.0,ZA,1596468761.0,64.0,-34.0,24.73,66.0,11.88
evensk,2.0,RU,1596468854.0,58.0,61.95,159.23,51.49,11.1
kadykchan,,,,,,,,
boa vista,75.0,BR,1596469025.0,58.0,2.82,-60.67,87.8,4.7
homer,90.0,US,1596468965.0,93.0,59.64,-151.55,55.4,3.24
hukuntsi,0.0,BW,1596469144.0,25.0,-24.0,21.75,64.76,8.88
batagay-alyta,53.0,RU,1596469054.0,75.0,67.8,130.41,51.66,5.08
cockburn town,20.0,TC,1596468764.0,70.0,21.46,-71.14,86.0,11.41
kaitangata,99.0,NZ,1596468767.0,83.0,-46.28,169.85,48.99,4.0
faanui,2.0,PF,1596468784.0,75.0,-16.48,-151.75,78.1,10.02
ponta do sol,20.0,PT,1596468744.0,54.0,32.67,-17.1,78.8,25.28
kango,98.0,GA,1596469144.0,56.0,0.19,10.1,82.98,6.24
thinadhoo,100.0,MV,1596469144.0,77.0,0.53,72.93,83.23,10.07
novopokrovka,15.0,UA,1596469144.0,38.0,49.84,36.55,75.2,6.71
baiyin,40.0,CN,1596469144.0,93.0,36.56,104.21,73.0,2.24
molokovo,98.0,RU,1596469145.0,84.0,58.17,36.76,63.41,6.11
hamilton,40.0,US,1596468815.0,69.0,39.18,-84.53,79.0,3.36
berbera,75.0,SO,1596469145.0,53.0,10.44,45.01,90.54,11.52
bardiyah,0.0,LY,1596468764.0,61.0,31.76,25.09,83.16,16.75
fort nelson,75.0,CA,1596468969.0,93.0,58.81,-122.7,60.8,4.7
victoria,40.0,HK,1596468703.0,88.0,22.29,114.16,80.6,8.05
vardo,75.0,NO,1596468730.0,87.0,70.37,31.11,51.8,6.93
great falls,75.0,US,1596468756.0,49.0,47.5,-111.3,73.4,5.82
koshurnikovo,96.0,RU,1596469145.0,91.0,54.17,93.3,56.35,4.18
new norfolk,100.0,AU,1596468765.0,75.0,-42.78,147.06,39.0,2.19
bonthe,77.0,SL,1596469146.0,71.0,7.53,-12.51,80.24,12.59
rincon,90.0,US,1596469146.0,94.0,32.3,-81.24,80.6,13.87
san patricio,75.0,MX,1596468746.0,78.0,19.22,-104.7,82.4,5.82
charleville-mezieres,40.0,FR,1596469146.0,35.0,49.77,4.72,71.6,6.93
faya,75.0,SA,1596468742.0,78.0,18.39,42.45,86.0,13.87
ancud,90.0,CL,1596468751.0,93.0,-41.87,-73.82,50.0,5.82
yuanping,0.0,CN,1596469146.0,40.0,38.72,112.76,70.09,2.55
ramhormoz,0.0,IR,1596469146.0,7.0,31.28,49.6,116.6,19.46
iraucuba,9.0,BR,1596469147.0,34.0,-3.75,-39.78,92.88,10.47
lagoa,0.0,PT,1596469039.0,80.0,39.05,-27.98,74.26,8.05
bandarbeyla,31.0,SO,1596469021.0,53.0,9.49,50.81,84.22,26.64
lompoc,1.0,US,1596468674.0,87.0,34.64,-120.46,60.8,6.89
yanam,75.0,IN,1596469147.0,69.0,16.73,82.22,80.6,9.17
miles city,1.0,US,1596469147.0,43.0,46.41,-105.84,71.6,14.99
nuuk,75.0,GL,1596468779.0,100.0,64.18,-51.72,48.2,6.93
coquimbo,75.0,CL,1596468773.0,87.0,-29.95,-71.34,53.6,10.29
tumannyy,,,,,,,,
usinsk,41.0,RU,1596469147.0,85.0,65.99,57.53,56.43,14.27
fortuna,0.0,US,1596468747.0,83.0,40.6,-124.16,64.0,5.1
thompson,5.0,CA,1596468739.0,60.0,55.74,-97.86,71.6,4.7
hueytown,75.0,US,1596468985.0,83.0,33.45,-87.0,82.0,3.36
shitanjing,99.0,CN,1596469148.0,22.0,39.23,106.34,77.68,11.32
naliya,98.0,IN,1596469148.0,75.0,23.27,68.83,87.66,14.38
la ronge,20.0,CA,1596468951.0,60.0,55.1,-105.28,71.6,12.75
severo-kurilsk,99.0,RU,1596468766.0,93.0,50.68,156.12,52.56,13.91
mahebourg,75.0,MU,1596468736.0,68.0,-20.41,57.7,69.8,16.11
gazanjyk,1.0,TM,1596469148.0,35.0,39.24,55.52,92.68,12.03
pauini,0.0,BR,1596469148.0,28.0,-7.71,-66.98,93.72,4.7
sitka,75.0,US,1596468736.0,87.0,57.05,-135.33,57.2,1.95
maroantsetra,72.0,MG,1596469149.0,81.0,-15.43,49.73,69.1,11.61
shelburne,90.0,CA,1596468773.0,72.0,44.08,-80.2,68.0,3.47
riyadh,44.0,SA,1596468767.0,8.0,24.69,46.72,111.2,13.87
saint-philippe,75.0,RE,1596468748.0,64.0,-21.36,55.77,69.8,12.75
ostrovnoy,100.0,RU,1596468787.0,87.0,68.05,39.51,51.44,15.55
mar del plata,40.0,AR,1596468708.0,76.0,-38.0,-57.56,55.4,13.87
tsihombe,,,,,,,,
mezhdurechenskiy,95.0,RU,1596469149.0,88.0,59.6,65.93,68.0,0.85
erzincan,0.0,TR,1596469149.0,20.0,39.75,39.5,86.0,12.75
marawi,99.0,PH,1596468771.0,90.0,8.0,124.29,78.01,5.99
touros,40.0,BR,1596468682.0,65.0,-5.2,-35.46,82.4,13.87
caravelas,0.0,BR,1596468755.0,57.0,-17.71,-39.25,76.3,11.25
beira,20.0,MZ,1596469150.0,73.0,-19.84,34.84,71.6,10.29
hilo,90.0,US,1596468740.0,78.0,19.73,-155.09,73.4,8.05
andros town,40.0,BS,1596469150.0,83.0,24.7,-77.77,84.2,16.11
luderitz,0.0,NA,1596468739.0,77.0,-26.65,15.16,62.6,23.04
yining,0.0,CN,1596469150.0,84.0,29.04,114.56,79.0,1.28
nuevo casas grandes,42.0,MX,1596469150.0,45.0,30.42,-107.92,80.01,3.0
kalmar,72.0,SE,1596469151.0,40.0,56.66,16.36,71.6,10.29
funchal,20.0,PT,1596469151.0,54.0,32.63,-16.9,78.8,25.28
mutis,70.0,CO,1596469151.0,76.0,6.23,-77.4,83.43,6.67
pinega,97.0,RU,1596469151.0,73.0,64.7,43.39,58.51,5.77
alekseyevsk,8.0,RU,1596469151.0,69.0,57.84,108.35,57.92,5.1
belushya guba,,,,,,,,
leningradskiy,100.0,RU,1596468757.0,92.0,69.38,178.42,37.4,9.53
codrington,98.0,AU,1596468764.0,73.0,-38.27,141.97,41.13,17.07
presidente epitacio,0.0,BR,1596469152.0,30.0,-21.76,-52.12,84.63,10.25
avarua,14.0,CK,1596468750.0,100.0,-21.21,-159.78,59.0,3.36
tuatapere,100.0,NZ,1596468740.0,81.0,-46.13,167.68,43.77,5.82
taoudenni,0.0,ML,1596468763.0,5.0,22.68,-3.98,115.07,19.1
delijan,0.0,IR,1596469152.0,12.0,33.99,50.68,88.97,13.96
maldonado,90.0,UY,1596468885.0,100.0,-34.67,-54.92,60.01,10.29
lexington park,75.0,US,1596468908.0,74.0,38.27,-76.45,86.0,6.93
abapo,0.0,BO,1596469152.0,25.0,-18.83,-63.47,87.15,10.78
olafsvik,12.0,IS,1596468886.0,80.0,64.89,-23.71,49.35,4.61
moramanga,94.0,MG,1596469152.0,93.0,-18.93,48.2,55.8,6.24
pevek,92.0,RU,1596468766.0,90.0,69.7,170.31,35.19,9.46
campbell river,75.0,CA,1596469153.0,93.0,50.02,-125.24,64.0,2.24
nizhneyansk,,,,,,,,
labytnangi,79.0,RU,1596469153.0,74.0,66.66,66.42,61.75,7.76
itarema,12.0,BR,1596468803.0,48.0,-2.92,-39.92,88.25,14.74
wajir,75.0,KE,1596469153.0,38.0,1.75,40.06,87.8,10.29
raub,91.0,MY,1596469153.0,86.0,3.79,101.86,75.67,1.19
carnarvon,75.0,AU,1596468763.0,67.0,-24.87,113.63,62.6,13.87
samusu,,,,,,,,
valley city,1.0,US,1596468913.0,56.0,46.92,-98.0,69.8,3.36
upernavik,100.0,GL,1596468749.0,89.0,72.79,-56.15,44.1,10.27
margate,2.0,GB,1596468926.0,53.0,51.38,1.39,69.01,1.99
chalinze,79.0,TZ,1596469154.0,59.0,-6.64,38.35,76.64,8.21
souillac,75.0,MU,1596468777.0,68.0,-20.52,57.52,69.8,16.11
saint-leu,75.0,RE,1596469154.0,64.0,-21.15,55.28,69.8,12.75
saint george,1.0,US,1596468605.0,16.0,37.1,-113.58,82.0,1.7
tuktoyaktuk,90.0,CA,1596468734.0,100.0,69.45,-133.04,48.2,5.82
balabac,90.0,PH,1596469154.0,76.0,7.99,117.06,82.17,3.24
alpinopolis,0.0,BR,1596469154.0,30.0,-20.86,-46.39,73.54,6.31
nam tha,,,,,,,,
saskylakh,23.0,RU,1596468751.0,70.0,71.92,114.08,62.56,4.18
kalamakion,,,,,,,,
cortez,1.0,US,1596469155.0,36.0,37.35,-108.59,77.0,3.36
itoman,75.0,JP,1596468889.0,83.0,26.12,127.67,84.2,10.29
nyalikungu,8.0,TZ,1596469155.0,30.0,-3.18,33.78,74.07,11.86
matane,75.0,CA,1596469155.0,65.0,48.83,-67.52,80.6,20.8
ouesso,48.0,CG,1596469155.0,79.0,1.61,16.05,79.07,1.43
brae,20.0,GB,1596468751.0,82.0,60.4,-1.35,57.2,14.99
tura,92.0,IN,1596468769.0,79.0,25.52,90.22,81.91,2.51
bethel,1.0,US,1596468737.0,57.0,41.37,-73.41,81.0,11.41
riberalta,20.0,BO,1596469155.0,38.0,-10.98,-66.1,87.8,4.27
qaanaaq,100.0,GL,1596468743.0,91.0,77.48,-69.36,33.55,3.76
qaqortoq,75.0,GL,1596468753.0,93.0,60.72,-46.03,48.2,3.36
ilulissat,75.0,GL,1596468761.0,70.0,69.22,-51.1,46.4,5.82
camana,87.0,PE,1596469156.0,68.0,-16.62,-72.71,62.49,7.76
harper,83.0,LR,1596468944.0,64.0,4.38,-7.72,78.46,8.16
omboue,54.0,GA,1596469156.0,71.0,-1.57,9.26,75.9,9.91
belyy yar,71.0,RU,1596469156.0,77.0,53.6,91.39,64.4,1.34
vila franca do campo,20.0,PT,1596468807.0,73.0,37.72,-25.43,75.2,8.05
kapaa,75.0,US,1596468753.0,78.0,22.08,-159.32,78.8,17.22
tomas oppus,98.0,PH,1596469156.0,85.0,10.25,124.98,78.62,2.33
kanniyakumari,97.0,IN,1596469156.0,80.0,8.08,77.57,80.15,18.25
yoichi,100.0,JP,1596468802.0,100.0,43.2,140.77,69.01,7.0
yerbogachen,100.0,RU,1596468773.0,65.0,61.28,108.01,62.55,4.52
eureka,90.0,US,1596468809.0,93.0,40.8,-124.16,61.0,4.38
umm lajj,20.0,SA,1596468775.0,58.0,25.02,37.27,91.0,8.46
tasiilaq,90.0,GL,1596468735.0,100.0,65.61,-37.64,46.4,3.69
brzesko,100.0,PL,1596469157.0,59.0,49.97,20.61,75.99,8.43
chara,100.0,RU,1596469157.0,87.0,56.91,118.26,55.15,1.59
altay,47.0,CN,1596469157.0,35.0,47.87,88.12,65.57,5.08
pacific grove,0.0,US,1596468749.0,90.0,36.62,-121.92,61.0,3.0
jumla,94.0,NP,1596469157.0,71.0,29.27,82.18,64.71,0.98
bambous virieux,75.0,MU,1596468744.0,68.0,-20.34,57.76,71.01,16.11
tema,20.0,GH,1596469158.0,65.0,5.67,-0.02,82.4,23.04
emirdag,0.0,TR,1596469158.0,22.0,39.02,31.15,82.72,9.82
adrar,21.0,MR,1596468776.0,17.0,20.5,-10.07,106.47,12.88
biak,100.0,ID,1596469158.0,85.0,-0.91,122.88,76.12,4.83
dmitriyevka,75.0,RU,1596469158.0,88.0,54.75,55.33,64.4,8.95
gulshat,,,,,,,,
tabiauea,,,,,,,,
mount gambier,40.0,AU,1596468776.0,75.0,-37.83,140.77,41.0,11.41
saldanha,18.0,ZA,1596468758.0,63.0,-33.01,17.94,66.2,8.05
ravar,0.0,IR,1596469159.0,14.0,31.27,56.81,84.99,3.69
santo domingo,75.0,DO,1596468998.0,66.0,18.5,-69.99,89.01,6.93
niquero,99.0,CU,1596469161.0,66.0,20.04,-77.58,87.89,7.56
bar harbor,90.0,US,1596469161.0,94.0,44.39,-68.2,80.01,16.11
quelimane,12.0,MZ,1596469161.0,81.0,-17.88,36.89,67.59,5.64
dikson,90.0,RU,1596468737.0,81.0,73.51,80.55,56.86,16.75
pitimbu,20.0,BR,1596469162.0,58.0,-7.47,-34.81,84.2,19.46
nantucket,90.0,US,1596468539.0,83.0,41.28,-70.1,80.01,12.75
nikolskoye,90.0,RU,1596468825.0,77.0,59.7,30.79,63.0,8.95
andevoranto,,,,,,,,
kavaratti,100.0,IN,1596468803.0,78.0,10.57,72.64,82.54,23.47
novoagansk,25.0,RU,1596469162.0,66.0,61.94,76.66,75.94,12.24
sorland,97.0,NO,1596468786.0,63.0,67.67,12.69,66.2,3.36
deputatskiy,91.0,RU,1596468791.0,79.0,69.3,139.9,45.46,3.24
adet,100.0,ET,1596469163.0,96.0,11.26,37.49,56.62,8.84
isangel,30.0,VU,1596468789.0,63.0,-19.55,169.27,66.2,3.36
kabo,26.0,CF,1596469163.0,82.0,7.7,18.63,78.69,4.97
eskil,0.0,TR,1596469163.0,19.0,38.4,33.41,82.65,13.4
saleaula,,,,,,,,
batagay,0.0,RU,1596468795.0,85.0,67.63,134.63,48.54,4.52
samfya,29.0,ZM,1596469163.0,37.0,-11.36,29.56,69.49,1.41
hunza,,,,,,,,
hambantota,40.0,LK,1596468790.0,94.0,6.12,81.12,78.8,14.99
hualmay,59.0,PE,1596468749.0,66.0,-11.1,-77.61,64.51,7.76
axim,77.0,GH,1596469164.0,69.0,4.87,-2.24,77.36,12.21
shingu,68.0,JP,1596468773.0,85.0,33.73,135.98,73.74,4.85
mwinilunga,92.0,ZM,1596469164.0,23.0,-11.74,24.43,72.7,4.45
wanning,100.0,CN,1596468776.0,85.0,18.8,110.4,80.08,1.39
celestun,63.0,MX,1596468755.0,63.0,20.87,-90.4,86.2,6.33
jian,13.0,CN,1596468894.0,80.0,27.12,114.98,82.13,1.63
katsuura,65.0,JP,1596468777.0,90.0,35.13,140.3,78.01,1.01
kampong cham,99.0,KH,1596469164.0,90.0,11.99,105.46,77.23,7.05
port lincoln,37.0,AU,1596468767.0,69.0,-34.73,135.87,49.86,13.31
ozgon,,,,,,,,
bargal,,,,,,,,
guerrero negro,0.0,MX,1596468749.0,57.0,27.98,-114.06,77.52,9.04
batticaloa,100.0,LK,1596469165.0,62.0,7.71,81.69,83.19,12.53
ojinaga,1.0,MX,1596469165.0,37.0,29.57,-104.42,84.2,9.17
karkaralinsk,,,,,,,,
turayf,0.0,SA,1596469165.0,12.0,31.67,38.66,96.8,18.34
korla,0.0,CN,1596469165.0,18.0,41.76,86.15,88.27,6.82
khudumelapye,0.0,BW,1596469166.0,27.0,-23.88,24.75,63.34,7.63
nacozari,38.0,MX,1596469166.0,78.0,25.34,-108.26,89.01,1.01
kavieng,0.0,PG,1596468752.0,81.0,-2.57,150.8,82.08,12.46
pilao arcado,,,,,,,,
santa cruz,40.0,BO,1596468947.0,42.0,-17.8,-63.17,86.0,3.36
pochutla,90.0,MX,1596468999.0,69.0,15.74,-96.47,87.01,3.47
prince rupert,90.0,CA,1596469166.0,93.0,54.32,-130.32,57.2,9.17
ndele,72.0,CF,1596469166.0,87.0,8.41,20.65,78.58,3.49
ribeira grande,75.0,PT,1596468770.0,88.0,38.52,-28.7,77.0,6.93
giaveno,75.0,IT,1596469166.0,88.0,45.05,7.35,68.0,3.36
dabakala,95.0,CI,1596469166.0,59.0,8.37,-4.43,83.32,8.41
samarai,82.0,PG,1596468909.0,86.0,-10.62,150.67,77.56,13.58
dong hoi,100.0,VN,1596469167.0,84.0,17.48,106.6,79.52,12.91
geraldton,75.0,AU,1596468773.0,87.0,-28.77,114.6,57.2,12.75
merauke,18.0,ID,1596469167.0,85.0,-8.47,140.33,74.71,13.91
canico,20.0,PT,1596469038.0,54.0,32.63,-16.85,78.8,25.28
kahului,1.0,US,1596468748.0,61.0,20.89,-156.47,77.0,11.41
te anau,99.0,NZ,1596468808.0,86.0,-45.42,167.72,42.39,2.19
bonfim,19.0,BR,1596468750.0,55.0,3.08,-59.95,88.43,6.89
alofi,75.0,NU,1596468746.0,100.0,-19.06,-169.92,73.4,10.29
pangnirtung,90.0,CA,1596468775.0,100.0,66.15,-65.71,48.2,12.75
sehithwa,0.0,BW,1596469167.0,22.0,-20.47,22.72,70.79,6.76
naze,26.0,JP,1596468872.0,83.0,28.37,129.48,82.4,4.7
binzhou,42.0,CN,1596469168.0,71.0,37.37,118.02,91.0,12.08
sterlibashevo,100.0,RU,1596469168.0,81.0,53.44,55.26,61.48,17.4
