city,cloudiness,country,date,humidity,lat,lng,temp,windspeed
bonavista,80.0,CA,1596468759.0,78.0,48.65,-53.11,68.0,1.99
impfondo,91.0,CG,1596469168.0,75.0,1.64,18.07,78.67,3.89
broome,75.0,US,1596468793.0,68.0,42.25,-75.83,75.99,9.17
bangsund,75.0,NO,1596469168.0,93.0,64.4,11.39,57.2,9.17
hithadhoo,89.0,MV,1596468774.0,78.0,-0.6,73.08,83.03,11.34
rocha,99.0,UY,1596469168.0,88.0,-34.48,-54.33,63.36,5.88
naples,20.0,IT,1596468958.0,66.0,40.83,14.25,86.0,10.29
emba,95.0,KZ,1596469169.0,15.0,48.83,58.14,92.35,9.75
college,90.0,US,1596468793.0,87.0,64.86,-147.8,55.4,5.82
ye,,,,,,,,
dubbo,50.0,AU,1596469169.0,100.0,-32.25,148.62,37.4,4.7
kalabo,0.0,ZM,1596469169.0,19.0,-14.97,22.68,74.84,5.77
torbay,75.0,CA,1596468779.0,60.0,47.67,-52.73,79.0,12.75
kurilsk,90.0,RU,1596469169.0,91.0,45.23,147.88,60.89,2.82
airai,72.0,TL,1596468752.0,100.0,-8.93,125.41,53.83,1.25
coihaique,75.0,CL,1596468748.0,93.0,-45.58,-72.07,41.0,3.36
carauari,52.0,BR,1596469170.0,34.0,-4.88,-66.9,92.68,4.7
aripuana,0.0,BR,1596469170.0,22.0,-9.17,-60.63,94.95,4.7
hami,71.0,CN,1596468959.0,12.0,42.8,93.45,90.81,14.72
yilan,75.0,TW,1596469170.0,94.0,24.76,121.75,82.0,3.36
vynohradove,15.0,UA,1596469170.0,30.0,46.37,32.94,80.6,2.24
warqla,,,,,,,,
svetlogorsk,51.0,BY,1596469170.0,68.0,52.63,29.73,70.88,6.78
anadyr,20.0,RU,1596468735.0,81.0,64.75,177.48,50.0,4.47
tarakan,90.0,ID,1596469171.0,80.0,3.3,117.63,81.5,8.9
manta,40.0,EC,1596469023.0,74.0,-0.95,-80.73,78.8,12.75
tabou,52.0,CI,1596468805.0,65.0,4.42,-7.35,78.12,8.75
roma,75.0,US,1596468965.0,78.0,43.21,-75.46,73.99,6.93
altamira,75.0,BR,1596468889.0,62.0,-3.2,-52.21,89.6,8.05
tanakpur,100.0,IN,1596469171.0,79.0,29.08,80.12,81.84,2.8
teguldet,14.0,RU,1596468762.0,78.0,57.31,88.17,63.59,5.08
montepuez,16.0,MZ,1596469171.0,50.0,-13.13,39.0,72.34,4.85
finta,,,,,,,,
tunghsiao,,,,,,,,
goderich,81.0,CA,1596468998.0,80.0,43.75,-81.72,73.0,1.99
karratha,0.0,AU,1596468767.0,53.0,-20.74,116.85,69.22,11.39
priargunsk,86.0,RU,1596469172.0,93.0,50.37,119.1,56.91,5.82
blonduos,,,,,,,,
ambovombe,0.0,MG,1596469172.0,73.0,-25.17,46.08,65.55,18.41
koulamoutou,88.0,GA,1596469172.0,51.0,-1.13,12.47,85.17,1.95
bengkulu,100.0,ID,1596468782.0,91.0,-3.8,102.27,77.09,6.64
berlevag,75.0,NO,1596468845.0,93.0,70.86,29.09,48.2,5.82
nome,1.0,US,1596468793.0,87.0,64.5,-165.41,48.0,9.17
conceicao do araguaia,28.0,BR,1596469172.0,35.0,-8.26,-49.26,89.6,13.87
mana,0.0,GF,1596469172.0,62.0,5.66,-53.78,85.78,7.47
sao miguel do araguaia,0.0,BR,1596468812.0,26.0,-13.28,-50.16,90.45,7.14
san cristobal,40.0,VE,1596468585.0,46.0,7.77,-72.22,89.6,19.46
opuwo,0.0,NA,1596468773.0,15.0,-18.06,13.84,79.52,10.02
nagar karnul,100.0,IN,1596469173.0,81.0,16.48,78.32,76.33,13.87
canutama,0.0,BR,1596469173.0,24.0,-6.53,-64.38,95.65,4.85
burica,,,,,,,,
machiques,83.0,VE,1596469173.0,65.0,10.06,-72.55,88.29,4.99
lubawa,100.0,PL,1596469173.0,88.0,53.5,19.75,64.0,1.05
muzhi,44.0,RU,1596469173.0,77.0,65.37,64.67,59.36,4.68
kapustin yar-1,,,,,,,,
camopi,2.0,GF,1596468722.0,46.0,3.17,-52.32,90.0,4.65
morondava,0.0,MG,1596469174.0,66.0,-20.28,44.28,73.29,9.86
ust-nera,77.0,RU,1596469174.0,43.0,64.57,143.2,57.58,3.91
makakilo city,20.0,US,1596468766.0,78.0,21.35,-158.09,77.0,4.7
antofagasta,75.0,CL,1596468765.0,62.0,-23.65,-70.4,59.0,5.82
cabatuan,93.0,PH,1596469174.0,86.0,10.88,122.49,77.36,4.83
atka,,,,,,,,
pokrovsk-uralskiy,,,,,,,,
umm kaddadah,65.0,SD,1596469174.0,36.0,13.6,26.69,89.64,15.7
rorvik,75.0,NO,1596469174.0,100.0,64.86,11.24,55.4,16.11
mbaiki,92.0,CF,1596469174.0,85.0,3.87,17.99,77.07,2.86
nosy varika,38.0,MG,1596468753.0,77.0,-20.58,48.53,67.53,7.99
griffith,90.0,US,1596469175.0,82.0,41.53,-87.42,71.01,11.41
beryslav,19.0,UA,1596469175.0,45.0,46.84,33.43,76.06,4.14
urumqi,100.0,CN,1596468856.0,30.0,43.8,87.6,82.99,2.24
bolungarvik,,,,,,,,
cabedelo,20.0,BR,1596468887.0,58.0,-6.98,-34.83,84.2,19.46
tautira,40.0,PF,1596468734.0,78.0,-17.73,-149.15,73.4,4.7
krasnoselkup,0.0,RU,1596468789.0,58.0,65.7,82.47,66.9,11.9
bathsheba,40.0,BB,1596468745.0,70.0,13.22,-59.52,87.8,13.87
ayan,51.0,RU,1596468813.0,80.0,56.45,138.17,53.47,8.43
la sarre,100.0,CA,1596469175.0,66.0,48.8,-79.2,57.11,8.43
piopio,5.0,NZ,1596469175.0,85.0,-38.47,175.02,45.0,0.98
najran,75.0,SA,1596469176.0,29.0,17.49,44.13,98.6,8.05
mugur-aksy,18.0,RU,1596469176.0,78.0,50.35,90.5,46.67,2.17
attawapiskat,,,,,,,,
portales,0.0,US,1596469176.0,61.0,34.19,-103.33,75.99,7.38
vaitupu,,,,,,,,
constantine,65.0,DZ,1596468915.0,42.0,36.37,6.61,84.31,11.14
fairbanks,20.0,US,1596468545.0,93.0,64.84,-147.72,55.4,5.19
rovaniemi,32.0,FI,1596468594.0,40.0,66.5,25.72,68.0,4.7
jabiru,,,,,,,,
vezirkopru,20.0,TR,1596469177.0,41.0,41.14,35.45,75.2,21.92
sungurlare,20.0,BG,1596469177.0,32.0,42.77,26.78,84.2,13.87
bella union,0.0,UY,1596469177.0,62.0,-30.28,-57.6,77.07,11.59
zhangye,100.0,CN,1596469066.0,42.0,38.93,100.45,76.75,1.48
agropoli,25.0,IT,1596469177.0,70.0,40.35,15.0,86.0,8.05
bayan,97.0,CN,1596469177.0,83.0,46.08,127.4,73.0,5.1
cowra,78.0,AU,1596469177.0,85.0,-33.83,148.68,39.0,4.7
dunedin,72.0,NZ,1596468814.0,84.0,-45.87,170.5,48.99,5.01
sedelnikovo,,,,,,,,
pemba,20.0,MZ,1596469178.0,69.0,-12.97,40.52,77.0,16.11
abalak,63.0,RU,1596469178.0,62.0,58.13,68.59,74.55,4.38
ugoofaaru,100.0,MV,1596468755.0,81.0,5.67,73.0,82.49,15.23
luanda,20.0,AO,1596468773.0,73.0,-8.84,13.23,75.2,10.29
tharad,73.0,IN,1596469178.0,58.0,24.4,71.63,91.76,7.76
steamboat springs,1.0,US,1596469178.0,45.0,40.48,-106.83,70.0,3.36
khani,42.0,GE,1596468774.0,57.0,41.96,42.96,78.8,11.41
pangody,93.0,RU,1596469178.0,81.0,65.85,74.49,67.98,9.57
harlingen,1.0,US,1596469179.0,88.0,26.19,-97.7,87.01,2.42
derzhavinsk,0.0,KZ,1596468813.0,38.0,51.1,66.32,80.94,10.78
husavik,90.0,IS,1596468808.0,81.0,66.04,-17.34,53.6,11.41
dyakonovo,,,,,,,,
half moon bay,1.0,US,1596468947.0,93.0,37.46,-122.43,68.0,7.23
galiwinku,,,,,,,,
turinskaya sloboda,91.0,RU,1596469180.0,86.0,57.62,64.39,70.97,2.73
tubruq,,,,,,,,
ous,100.0,RU,1596469180.0,66.0,60.91,61.52,62.64,2.82
eyl,94.0,SO,1596468981.0,46.0,7.98,49.82,87.06,25.55
york,1.0,US,1596469181.0,54.0,40.13,-77.0,80.6,6.93
qandahar,,,,,,,,
remanso,10.0,BR,1596469181.0,39.0,-9.62,-42.08,82.81,9.51
eagle pass,5.0,US,1596469181.0,70.0,28.71,-100.5,84.2,5.26
ola,19.0,RU,1596468866.0,81.0,59.58,151.28,51.85,0.94
sola,90.0,VU,1596469182.0,78.0,-13.88,167.55,78.8,5.82
bazaliya,15.0,UA,1596469182.0,72.0,49.71,26.47,71.58,8.79
karaul,,,,,,,,
nanortalik,100.0,GL,1596468760.0,92.0,60.14,-45.24,44.8,8.23
hofn,75.0,IS,1596468775.0,87.0,64.25,-15.21,53.6,10.29
bundaberg,0.0,AU,1596468759.0,93.0,-24.85,152.35,55.0,5.82
saint-francois,83.0,FR,1596469183.0,52.0,46.42,3.91,68.0,11.41
wexford,40.0,IE,1596469183.0,72.0,52.33,-6.46,64.0,11.41
skibbereen,75.0,IE,1596469183.0,55.0,51.55,-9.27,64.4,11.41
oksfjord,1.0,NO,1596469183.0,67.0,70.24,22.35,62.6,5.82
maraa,76.0,BR,1596469183.0,58.0,-1.83,-65.37,85.66,2.13
juneau,90.0,US,1596469113.0,93.0,58.3,-134.42,57.0,5.82
eisiskes,54.0,LT,1596469183.0,36.0,54.17,25.0,78.8,11.41
tilichiki,76.0,RU,1596469055.0,92.0,60.47,166.1,46.4,0.74
kutum,81.0,SD,1596468762.0,71.0,14.2,24.67,71.87,17.34
grootfontein,0.0,NA,1596469183.0,21.0,-19.57,18.12,70.77,6.98
guilin,75.0,CN,1596469184.0,94.0,25.28,110.29,80.6,1.25
padang,99.0,ID,1596468737.0,79.0,-0.95,100.35,78.91,2.08
krasnoarmeysk,3.0,RU,1596468808.0,36.0,51.02,45.7,73.99,4.0
macheng,46.0,CN,1596469184.0,76.0,31.18,115.03,82.69,2.3
podor,75.0,MR,1596469184.0,56.0,16.65,-14.96,95.0,2.24
ust-ilimsk,78.0,RU,1596469184.0,59.0,58.0,102.66,63.81,2.01
limbang,75.0,MY,1596469184.0,79.0,4.75,115.0,84.2,1.12
seydi,0.0,TM,1596469184.0,13.0,39.48,62.91,93.51,9.57
nhulunbuy,90.0,AU,1596469184.0,88.0,-12.23,136.77,71.6,7.81
mandalgovi,10.0,MN,1596468784.0,75.0,45.76,106.27,59.09,13.69
cayenne,75.0,GF,1596468608.0,55.0,4.93,-52.33,89.6,5.82
esperance,75.0,AU,1596468750.0,100.0,-33.87,121.9,48.2,8.05
myanaung,100.0,MM,1596469185.0,96.0,18.28,95.32,76.87,5.95
alamogordo,1.0,US,1596469185.0,56.0,32.9,-105.96,73.4,5.3
mogadishu,75.0,SO,1596469064.0,69.0,2.04,45.34,78.8,23.04
manoel urbano,0.0,BR,1596469185.0,30.0,-8.84,-69.26,92.3,3.98
tiarei,40.0,PF,1596469185.0,78.0,-17.53,-149.33,73.4,4.7
general pico,100.0,AR,1596469185.0,83.0,-35.66,-63.76,62.91,9.08
puno,0.0,PE,1596469185.0,17.0,-15.83,-70.03,53.6,2.24
bafra,40.0,TR,1596469186.0,50.0,41.57,35.91,78.8,6.93
inverness,20.0,GB,1596469186.0,59.0,57.48,-4.22,64.0,12.75
penzance,20.0,GB,1596469186.0,72.0,50.12,-5.54,66.0,12.75
xai-xai,0.0,MZ,1596469186.0,74.0,-25.05,33.64,65.89,9.42
mehamn,90.0,NO,1596469186.0,100.0,71.04,27.85,48.2,3.36
buraydah,75.0,SA,1596468769.0,20.0,26.33,43.98,111.2,16.11
wagar,100.0,SD,1596468966.0,69.0,16.15,36.2,80.69,17.83
arrecife,20.0,ES,1596469186.0,58.0,28.96,-13.55,82.4,26.4
salalah,40.0,OM,1596468763.0,83.0,17.02,54.09,84.2,5.82
wasilla,90.0,US,1596469161.0,93.0,61.58,-149.44,54.0,4.65
pisco,40.0,PE,1596468502.0,72.0,-13.7,-76.22,64.4,5.82
gangotri,,,,,,,,
saint-pierre,75.0,RE,1596468765.0,64.0,-21.34,55.48,69.8,12.75
muros,40.0,ES,1596469029.0,60.0,42.78,-9.06,77.0,5.82
seymchan,76.0,RU,1596469187.0,76.0,62.88,152.43,46.2,0.78
marcona,,,,,,,,
port blair,100.0,IN,1596468859.0,81.0,11.67,92.75,82.29,24.23
ribeirao preto,0.0,BR,1596469187.0,27.0,-21.18,-47.81,77.0,6.93
black river,75.0,JM,1596469187.0,74.0,18.03,-77.85,89.01,6.93
broadstairs,1.0,GB,1596469058.0,53.0,51.36,1.44,69.01,1.99
collie,57.0,AU,1596469187.0,76.0,-33.37,116.15,48.0,4.03
boulder,1.0,US,1596469188.0,68.0,40.08,-105.35,70.0,2.73
vao,89.0,NC,1596468774.0,69.0,-22.67,167.48,68.13,9.93
nogliki,86.0,RU,1596469188.0,93.0,51.83,143.17,50.65,12.06
san quintin,47.0,MX,1596468570.0,82.0,30.48,-115.95,67.87,3.49
orlik,100.0,RU,1596469188.0,84.0,52.52,99.83,50.68,0.89
buqayq,,,,,,,,
dorogino,9.0,RU,1596469188.0,78.0,54.36,83.32,63.46,11.63
bowen,75.0,AU,1596468805.0,87.0,-20.02,148.23,64.99,6.93
roscommon,75.0,IE,1596468889.0,54.0,53.63,-8.18,59.0,5.82
barreirinha,20.0,BR,1596469188.0,30.0,-2.79,-57.07,97.65,4.68
mazagao,40.0,BR,1596469188.0,66.0,-0.12,-51.29,89.6,6.93
atar,49.0,MR,1596468738.0,18.0,20.52,-13.05,107.01,12.33
namibe,20.0,AO,1596468769.0,69.0,-15.2,12.15,75.2,12.75
pandan,83.0,PH,1596469189.0,84.0,14.05,124.17,80.42,5.08
phan thiet,87.0,VN,1596469189.0,87.0,10.93,108.1,77.86,7.54
sambava,51.0,MG,1596469189.0,75.0,-14.27,50.17,71.58,19.75
nemuro,100.0,JP,1596469041.0,93.0,43.32,145.57,64.15,12.57
kalmunai,100.0,LK,1596468743.0,61.0,7.42,81.82,83.14,6.2
balkhash,52.0,KZ,1596469189.0,36.0,46.84,74.98,79.16,14.92
uspenka,67.0,UA,1596469189.0,46.0,48.39,39.16,74.14,4.27
talnakh,91.0,RU,1596468747.0,77.0,69.49,88.4,62.6,4.47
aflu,,,,,,,,
kayerkan,86.0,RU,1596469189.0,77.0,69.35,87.76,62.6,4.47
araguacu,13.0,BR,1596469190.0,26.0,-12.93,-49.83,91.38,7.85
maragogi,74.0,BR,1596468726.0,69.0,-9.01,-35.22,78.44,14.81
miranorte,,,,,,,,
tual,55.0,ID,1596469068.0,82.0,-5.67,132.75,78.1,16.24
barcelos,20.0,PT,1596469190.0,82.0,41.54,-8.62,77.0,14.99
hudiksvall,0.0,SE,1596468983.0,53.0,61.73,17.1,69.01,4.0
sainte-maxime,0.0,FR,1596468755.0,25.0,43.3,6.63,87.8,26.4
fallon,1.0,US,1596468998.0,17.0,39.47,-118.78,78.01,5.82
canberra,70.0,AU,1596468988.0,93.0,-35.28,149.13,41.0,4.7
severomuysk,0.0,RU,1596469190.0,94.0,56.15,113.43,47.21,3.06
cabo rojo,8.0,PR,1596469191.0,73.0,18.09,-67.15,89.01,5.99
lazarev,98.0,RU,1596469191.0,86.0,52.23,141.51,53.11,13.51
saqqez,0.0,IR,1596469191.0,18.0,36.25,46.27,76.82,5.84
cotonou,40.0,BJ,1596469191.0,74.0,6.37,2.42,80.6,19.46
haines junction,100.0,CA,1596468837.0,68.0,60.75,-137.51,50.7,3.51
beringovskiy,100.0,RU,1596468784.0,63.0,63.05,179.32,48.87,1.95
iralaya,75.0,HN,1596469191.0,74.0,15.0,-83.23,86.0,4.7
mount isa,0.0,AU,1596469191.0,34.0,-20.73,139.5,51.8,2.24
nishihara,75.0,JP,1596468797.0,83.0,26.18,127.76,84.2,10.29
lyubeshiv,,,,,,,,
reshetylivka,15.0,UA,1596469192.0,47.0,49.56,34.08,74.01,4.12
kloulklubed,75.0,PW,1596469192.0,94.0,7.04,134.26,77.0,10.11
polyarnyy,75.0,RU,1596469192.0,93.0,69.2,33.45,50.0,4.47
mirnyy,2.0,RU,1596469192.0,55.0,62.54,113.96,60.8,6.71
bilibino,88.0,RU,1596468768.0,88.0,68.05,166.44,42.91,2.48
kapoeta,51.0,SS,1596469192.0,60.0,4.77,33.59,78.26,4.32
gerardmer,100.0,FR,1596469192.0,60.0,48.07,6.88,73.4,3.36
sentyabrskiy,,,,,,,,
kaeo,26.0,NZ,1596468774.0,3.0,-35.1,173.78,52.0,1.01
dingle,95.0,PH,1596468799.0,86.0,11.0,122.67,77.5,4.09
saint-joseph,75.0,RE,1596469193.0,64.0,-21.37,55.62,69.8,12.75
boleslawiec,100.0,PL,1596469193.0,89.0,51.26,15.57,64.99,3.0
morehead,40.0,US,1596469193.0,69.0,37.27,-87.18,79.0,3.36
vilyuysk,0.0,RU,1596469193.0,59.0,63.76,121.62,56.89,3.56
mahibadhoo,100.0,MV,1596469193.0,76.0,3.78,72.97,83.43,12.24
minna,100.0,NG,1596469193.0,96.0,9.61,6.56,71.31,1.59
parana,80.0,AR,1596469193.0,54.0,-31.73,-60.52,75.56,10.67
sajkas,16.0,RS,1596469193.0,33.0,45.27,20.09,93.2,10.29
keffi,100.0,NG,1596469193.0,90.0,8.85,7.87,73.36,5.35
waw,48.0,SS,1596469193.0,79.0,7.7,28.0,79.07,0.65
tromso,0.0,NO,1596469194.0,63.0,69.65,18.96,60.8,6.93
buala,2.0,SB,1596469194.0,79.0,-8.14,159.59,80.31,6.38
cordoba,3.0,AR,1596469151.0,44.0,-31.41,-64.18,78.8,16.11
matara,100.0,LK,1596468871.0,85.0,5.95,80.54,78.4,9.71
verkhnevilyuysk,51.0,RU,1596469057.0,65.0,63.45,120.32,56.05,4.03
mizan teferi,97.0,ET,1596469194.0,93.0,6.98,35.58,63.81,0.87
itapua poty,,,,,,,,
cirie,75.0,IT,1596469194.0,82.0,45.24,7.6,69.01,4.7
bumba,93.0,CD,1596469194.0,88.0,2.18,22.47,77.72,0.89
natitingou,75.0,BJ,1596468744.0,65.0,10.3,1.38,80.6,9.17
maningrida,16.0,AU,1596469194.0,91.0,-12.07,134.27,69.17,7.74
karakendzha,,,,,,,,
takayama,53.0,JP,1596469195.0,96.0,36.13,137.25,80.01,1.95
basco,100.0,PH,1596469195.0,76.0,20.45,121.97,84.29,8.61
ketchikan,90.0,US,1596468769.0,100.0,55.34,-131.65,57.2,9.17
akyab,100.0,MM,1596468758.0,86.0,20.15,92.9,81.93,3.98
palembang,81.0,ID,1596469195.0,92.0,-2.92,104.75,76.32,4.32
sao filipe,21.0,CV,1596468763.0,73.0,14.9,-24.5,79.86,10.94
dodge city,75.0,US,1596469195.0,77.0,37.75,-100.02,69.01,4.7
atikokan,6.0,CA,1596469195.0,40.0,48.76,-91.62,68.56,5.59
aklavik,75.0,CA,1596468733.0,93.0,68.22,-135.01,55.4,4.7
magugu,5.0,TZ,1596469196.0,50.0,-4.02,35.77,68.11,1.77
morros,11.0,BR,1596468515.0,30.0,-9.45,-46.3,87.26,14.38
huarmey,66.0,PE,1596469055.0,68.0,-10.07,-78.15,65.37,7.85
metro,62.0,ID,1596469196.0,88.0,-5.11,105.31,75.61,4.97
boddam,99.0,GB,1596469196.0,55.0,57.47,-1.78,60.8,5.82
lufkin,1.0,US,1596469196.0,65.0,31.34,-94.73,86.0,9.17
hanyang,97.0,CN,1596469197.0,92.0,32.14,105.51,73.42,1.21
alquizar,40.0,CU,1596469197.0,70.0,22.81,-82.58,87.8,2.24
sao sebastiao,0.0,BR,1596469178.0,57.0,-23.76,-45.41,72.84,2.57
ambilobe,27.0,MG,1596468733.0,63.0,-13.2,49.05,73.6,4.76
nelspruit,0.0,ZA,1596469197.0,30.0,-25.47,30.97,69.8,6.93
cravo norte,16.0,CO,1596468795.0,64.0,6.3,-70.2,86.36,10.63
xiashi,68.0,CN,1596469197.0,79.0,30.54,120.69,84.99,6.71
fukue,81.0,JP,1596468753.0,82.0,32.69,128.84,81.12,16.49
saint-augustin,98.0,CA,1596468796.0,86.0,51.23,-58.65,66.06,13.44
cedar city,1.0,US,1596469197.0,18.0,37.68,-113.06,73.4,6.33
sobolevo,93.0,RU,1596469198.0,81.0,54.43,31.9,66.54,6.31
alberton,68.0,CA,1596469198.0,75.0,46.82,-64.07,75.49,20.54
delta del tigre,14.0,UY,1596469198.0,73.0,-34.76,-56.39,71.01,11.41
grants pass,1.0,US,1596469198.0,59.0,42.44,-123.33,64.4,1.16
mahina,40.0,PF,1596469199.0,78.0,-17.51,-149.49,73.4,4.7
lolua,,,,,,,,
naron,96.0,ES,1596469199.0,84.0,43.52,-8.15,69.01,7.74
roebourne,0.0,AU,1596469199.0,57.0,-20.78,117.13,68.94,10.65
babstovo,100.0,RU,1596469199.0,97.0,48.12,132.48,60.82,8.77
hirara,100.0,JP,1596468654.0,78.0,24.8,125.28,84.81,21.14
gewane,100.0,ET,1596469200.0,70.0,10.17,40.65,76.98,6.31
wufeng,9.0,CN,1596469200.0,99.0,27.45,104.83,62.67,4.7
pacifica,20.0,US,1596468723.0,77.0,37.61,-122.49,62.01,16.11
richards bay,0.0,ZA,1596468925.0,48.0,-28.78,32.04,72.09,11.5
lazaro cardenas,100.0,MX,1596469201.0,74.0,17.96,-102.2,85.37,4.03
nazas,1.0,MX,1596469201.0,31.0,25.23,-104.13,78.64,5.66
jinka,90.0,ET,1596469202.0,60.0,5.65,36.65,68.68,1.86
jorpeland,20.0,NO,1596469202.0,63.0,59.02,6.04,60.8,11.41
portland,40.0,US,1596468918.0,72.0,45.52,-122.68,66.99,3.36
sur,7.0,OM,1596469202.0,61.0,22.57,59.53,89.1,15.01
sakakah,0.0,SA,1596468785.0,9.0,29.97,40.21,102.2,18.34
cap malheureux,82.0,MU,1596468875.0,62.0,-19.98,57.61,71.01,5.99
awjilah,0.0,LY,1596469202.0,15.0,29.11,21.29,101.03,11.83
daru,99.0,PG,1596469203.0,86.0,-9.08,143.21,75.43,12.28
hervey bay,34.0,AU,1596469203.0,93.0,-25.3,152.85,55.0,5.82
krasnovishersk,100.0,RU,1596468746.0,70.0,60.41,57.08,59.36,3.62
constitucion,31.0,CL,1596468739.0,72.0,-35.33,-72.42,58.06,2.28
qui nhon,96.0,VN,1596469203.0,73.0,13.77,109.23,83.03,7.27
alugan,100.0,PH,1596468788.0,79.0,12.22,125.48,81.68,1.72
moses lake,1.0,US,1596469204.0,49.0,47.13,-119.28,75.2,10.29
san joaquin,19.0,VE,1596469204.0,62.0,10.26,-67.79,82.78,9.55
sinnamary,0.0,GF,1596469204.0,63.0,5.38,-52.95,85.35,8.46
wa,,,,,,,,
okhotsk,39.0,RU,1596468851.0,80.0,59.38,143.3,56.39,5.06
tazmalt,73.0,DZ,1596469204.0,22.0,36.39,4.4,98.08,12.12
alta floresta,0.0,BR,1596468784.0,31.0,-9.88,-56.09,91.4,12.75
labuhan,30.0,ID,1596468811.0,82.0,-6.88,112.21,78.39,9.33
